dataset,model,protocol,fold_id,protocol_tag,train_subjects,val_subjects,test_subjects,n_train,n_val,n_test,best_epoch,best_val_loss,main_metric,main_value,accuracy,balanced_accuracy,precision,recall,f1,kappa,auc
p300,eegnet_ms_se,within,2,within_sub36_fold2,[36],[36],[36],900,450,450,36,0.6237277706464132,auc,0.839958309373203,0.7355555555555555,0.733215928694652,0.35294117647058826,0.7297297297297297,0.47577092511013214,0.32646592709984157,0.839958309373203
p300,eegnet_ms_se,within,3,within_sub36_fold3,[36],[36],[36],900,450,450,48,0.5212672034899394,auc,0.7418378834787503,0.7066666666666667,0.6767520405291303,0.3157894736842105,0.631578947368421,0.42105263157894735,0.2527925933380295,0.7418378834787503
p300,eegnet_ms_se,within,0,within_sub37_fold0,[37],[37],[37],900,450,450,40,0.5134844511747361,auc,0.7878044444444444,0.7333333333333333,0.7173333333333334,0.348993288590604,0.6933333333333334,0.4642857142857143,0.31166347992351817,0.7878044444444444
p300,eegnet_ms_se,within,1,within_sub37_fold1,[37],[37],[37],900,450,450,135,0.4448662132024765,auc,0.8091377777777778,0.7911111111111111,0.7466666666666667,0.4214876033057851,0.68,0.520408163265306,0.3961456102783726,0.8091377777777778
p300,eegnet_ms_se,within,2,within_sub37_fold2,[37],[37],[37],900,450,450,35,0.5706631610790889,auc,0.8106311111111111,0.7444444444444445,0.7133333333333334,0.35714285714285715,0.6666666666666666,0.46511627906976744,0.3168316831683169,0.8106311111111111
p300,eegnet_ms_se,within,3,within_sub37_fold3,[37],[37],[37],900,450,450,28,0.5834866503874461,auc,0.7429688888888889,0.7133333333333334,0.6733333333333333,0.3150684931506849,0.6133333333333333,0.416289592760181,0.25145067698259194,0.7429688888888889
p300,eegnet_ms_se,within,0,within_sub38_fold0,[38],[38],[38],900,450,450,80,0.43280555804570514,auc,0.8652898958626513,0.8133333333333334,0.7776175063326767,0.4661016949152542,0.7236842105263158,0.5670103092783505,0.45504872844703304,0.8652898958626513
p300,eegnet_ms_se,within,1,within_sub38_fold1,[38],[38],[38],900,450,450,84,0.43768824537595113,auc,0.8742093156986774,0.8222222222222222,0.7742236917768832,0.4727272727272727,0.7027027027027027,0.5652173913043479,0.4588093806374023,0.8742093156986774
p300,eegnet_ms_se,within,2,within_sub38_fold2,[38],[38],[38],900,450,450,61,0.4083749562501907,auc,0.8845693779904307,0.8111111111111111,0.7710385589642555,0.46153846153846156,0.7105263157894737,0.5595854922279793,0.4461819129528277,0.8845693779904307
p300,eegnet_ms_se,within,3,within_sub38_fold3,[38],[38],[38],900,450,450,76,0.40161655147870384,auc,0.8459603220241518,0.7888888888888889,0.7597038527889592,0.41732283464566927,0.7162162162162162,0.527363184079602,0.4033829234934547,0.8459603220241518
p300,eegnet_ms_se,within,0,within_sub39_fold0,[39],[39],[39],900,450,450,49,0.6678577303886414,auc,0.6612622222222222,0.68,0.6213333333333333,0.2684563758389262,0.5333333333333333,0.35714285714285715,0.1739961759082218,0.6612622222222222
p300,eegnet_ms_se,within,1,within_sub39_fold1,[39],[39],[39],900,450,450,61,0.5718915283679962,auc,0.7149155555555555,0.7066666666666667,0.6693333333333333,0.3087248322147651,0.6133333333333333,0.4107142857142857,0.24282982791587004,0.7149155555555555
p300,eegnet_ms_se,within,2,within_sub39_fold2,[39],[39],[39],900,450,450,9,0.6828057130177816,auc,0.7044266666666666,0.66,0.6786666666666666,0.28804347826086957,0.7066666666666667,0.40926640926640934,0.22596964586846546,0.7044266666666666
p300,eegnet_ms_se,within,3,within_sub39_fold3,[39],[39],[39],900,450,450,55,0.5670539895693462,auc,0.6206933333333333,0.6822222222222222,0.6066666666666667,0.2605633802816901,0.49333333333333335,0.34101382488479265,0.15717092337917482,0.6206933333333333
p300,eegnet_ms_se,within,0,within_sub40_fold0,[40],[40],[40],900,450,450,67,0.6010304758946101,auc,0.6738844444444445,0.6644444444444444,0.6226666666666667,0.2625,0.56,0.3574468085106383,0.1688073394495414,0.6738844444444445
p300,eegnet_ms_se,within,1,within_sub40_fold1,[40],[40],[40],900,450,450,47,0.6322506646315257,auc,0.6582044444444444,0.6755555555555556,0.624,0.2679738562091503,0.5466666666666666,0.35964912280701755,0.17514124293785316,0.6582044444444444
p300,eegnet_ms_se,within,2,within_sub40_fold2,[40],[40],[40],900,450,450,88,0.5916043549776078,auc,0.7151288888888889,0.7333333333333333,0.6586666666666667,0.3228346456692913,0.5466666666666666,0.4059405940594059,0.24843423799582454,0.7151288888888889
p300,eegnet_ms_se,within,3,within_sub40_fold3,[40],[40],[40],900,450,450,54,0.6334139207998911,auc,0.737848888888889,0.6933333333333334,0.6559999999999999,0.29411764705882354,0.6,0.3947368421052632,0.22033898305084743,0.737848888888889
p300,eegnet_ms_se,within,0,within_sub41_fold0,[41],[41],[41],900,450,450,14,0.6548694849014283,auc,0.6752355555555556,0.68,0.6,0.2553191489361702,0.48,0.3333333333333333,0.14792899408284022,0.6752355555555556
p300,eegnet_ms_se,within,1,within_sub41_fold1,[41],[41],[41],900,450,450,43,0.564507586757342,auc,0.6565688888888889,0.7066666666666667,0.5946666666666667,0.2644628099173554,0.4266666666666667,0.32653061224489793,0.15203426124196995,0.6565688888888889
p300,eegnet_ms_se,within,2,within_sub41_fold2,[41],[41],[41],900,450,450,47,0.5503993292649587,auc,0.7786666666666666,0.7333333333333333,0.7066666666666667,0.3448275862068966,0.6666666666666666,0.4545454545454545,0.30097087378640774,0.7786666666666666
p300,eegnet_ms_se,within,3,within_sub41_fold3,[41],[41],[41],900,450,450,79,0.5393666565418244,auc,0.8123022222222223,0.7577777777777778,0.7426666666666666,0.38028169014084506,0.72,0.4976958525345623,0.35756385068762275,0.8123022222222223
p300,eegnet_ms_se,within,0,within_sub42_fold0,[42],[42],[42],900,450,450,35,0.5332667758067449,auc,0.8030477285796436,0.7577777777777778,0.7085250143760782,0.3643410852713178,0.6351351351351351,0.4630541871921182,0.32118242962716925,0.8030477285796436
p300,eegnet_ms_se,within,1,within_sub42_fold1,[42],[42],[42],900,450,450,43,0.4329775370657444,auc,0.8026315789473684,0.7244444444444444,0.7136574725584013,0.34415584415584416,0.6973684210526315,0.4608695652173913,0.3033012036158418,0.8026315789473684
p300,eegnet_ms_se,within,2,within_sub42_fold2,[42],[42],[42],900,450,450,64,0.5340610971053441,auc,0.8619022222222223,0.8044444444444444,0.792,0.4496124031007752,0.7733333333333333,0.5686274509803921,0.45341614906832295,0.8619022222222223
p300,eegnet_ms_se,within,3,within_sub42_fold3,[42],[42],[42],900,450,450,85,0.523120931784312,auc,0.8057244444444446,0.7822222222222223,0.736,0.4065040650406504,0.6666666666666666,0.505050505050505,0.37579617834394907,0.8057244444444446
p300,eegnet_ms_se,within,0,within_sub43_fold0,[43],[43],[43],900,450,450,34,0.5858383913834889,auc,0.7646933333333332,0.68,0.6853333333333333,0.30057803468208094,0.6933333333333334,0.41935483870967744,0.243432574430823,0.7646933333333332
p300,eegnet_ms_se,within,1,within_sub43_fold1,[43],[43],[43],900,450,450,110,0.4598886261383692,auc,0.8173155555555556,0.7666666666666667,0.7106666666666667,0.3790322580645161,0.6266666666666667,0.4723618090452261,0.33403805496828753,0.8173155555555556
p300,eegnet_ms_se,within,2,within_sub43_fold2,[43],[43],[43],900,450,450,61,0.5293122371037801,auc,0.8190222222222222,0.7666666666666667,0.7266666666666666,0.38461538461538464,0.6666666666666666,0.4878048780487804,0.35051546391752575,0.8190222222222222
p300,eegnet_ms_se,within,3,within_sub43_fold3,[43],[43],[43],900,450,450,49,0.5734557628631591,auc,0.8531911111111111,0.7733333333333333,0.752,0.4,0.72,0.5142857142857142,0.38181818181818183,0.8531911111111111
p300,eegnet_ms_se,within,0,within_sub44_fold0,[44],[44],[44],900,450,450,68,0.6664199630419413,auc,0.7081599999999999,0.7266666666666667,0.644,0.30952380952380953,0.52,0.3880597014925373,0.2264150943396226,0.7081599999999999
p300,eegnet_ms_se,within,1,within_sub44_fold1,[44],[44],[44],900,450,450,61,0.6317284723122915,auc,0.6472177777777778,0.6955555555555556,0.5826666666666667,0.25,0.41333333333333333,0.31155778894472363,0.13107822410147985,0.6472177777777778
p300,eegnet_ms_se,within,2,within_sub44_fold2,[44],[44],[44],900,450,450,34,0.6838689168294271,auc,0.6387200000000001,0.6155555555555555,0.5986666666666667,0.23369565217391305,0.5733333333333334,0.332046332046332,0.12478920741989885,0.6387200000000001
p300,eegnet_ms_se,within,3,within_sub44_fold3,[44],[44],[44],900,450,450,123,0.6416082233190536,auc,0.6460444444444444,0.66,0.588,0.24,0.48,0.32,0.12571428571428567,0.6460444444444444
p300,eegnet_ms_se,within,0,within_sub45_fold0,[45],[45],[45],900,450,450,1,0.6793831984202067,auc,0.570406843013226,0.5022222222222222,0.5555994824611845,0.19262295081967212,0.6351351351351351,0.29559748427672955,0.05783826223501709,0.570406843013226
p300,eegnet_ms_se,within,1,within_sub45_fold1,[45],[45],[45],900,450,450,22,0.6646913389364878,auc,0.5995285674078243,0.5622222222222222,0.5898536448072051,0.22119815668202766,0.631578947368421,0.32764505119453924,0.10333178241255847,0.5995285674078243
p300,eegnet_ms_se,within,2,within_sub45_fold2,[45],[45],[45],900,450,450,5,0.6976345658302308,auc,0.5566933333333334,0.6444444444444445,0.552,0.2108843537414966,0.41333333333333333,0.27927927927927926,0.07514450867052025,0.5566933333333334
p300,eegnet_ms_se,within,3,within_sub45_fold3,[45],[45],[45],900,450,450,52,0.6605092823505402,auc,0.5774222222222223,0.6444444444444445,0.5573333333333333,0.21476510067114093,0.4266666666666667,0.28571428571428575,0.0822179732313576,0.5774222222222223
p300,eegnet_ms_se,within,0,within_sub46_fold0,[46],[46],[46],900,450,450,33,0.6250868082046509,auc,0.7638755555555556,0.66,0.652,0.27586206896551724,0.64,0.3855421686746988,0.19895287958115182,0.7638755555555556
p300,eegnet_ms_se,within,1,within_sub46_fold1,[46],[46],[46],900,450,450,36,0.6452301944295565,auc,0.6532977777777779,0.6177777777777778,0.616,0.24338624338624337,0.6133333333333333,0.34848484848484845,0.14427860696517414,0.6532977777777779
p300,eegnet_ms_se,within,2,within_sub46_fold2,[46],[46],[46],900,450,450,2,0.730673631032308,auc,0.5053827751196172,0.5444444444444444,0.4795595271601464,0.15508021390374332,0.3815789473684211,0.22053231939163498,-0.0258434712986233,0.5053827751196172
